breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Southern Hound,Britain,https://en.wikipedia.org/wiki/Southern_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Southern_Hound.jpg/220px-Southern_Hound.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Southern_Hound.jpg/330px-Southern_Hound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Southern_Hound.jpg/440px-Southern_Hound.jpg,,,,,
Tahitian Dog,"Tahiti, Society Islands (French Polynesia)",https://en.wikipedia.org/wiki/Tahitian_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg/220px-Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg,Not available,Not available,Not available,Not available,"South Sea Dog, Otaheite Dog, Tahitian Dog, Society Islands Dog, Poe Dog",Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg/330px-Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg/440px-Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg,,,,,
Tahltan Bear Dog,Northern Canada,https://en.wikipedia.org/wiki/Tahltan_Bear_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Tahltan_Bear_Dog_sketch2.jpg/220px-Tahltan_Bear_Dog_sketch2.jpg,Not available,Not available,Not available,Not available,Chien d'ours de Tahltan,Tahltan,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Tahltan_Bear_Dog_sketch2.jpg/330px-Tahltan_Bear_Dog_sketch2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Tahltan_Bear_Dog_sketch2.jpg/440px-Tahltan_Bear_Dog_sketch2.jpg,,,,,
Talbot Hound,"Uncertain, possibly Belgium / France (Normandy) or England",https://en.wikipedia.org/wiki/Talbot_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/TalbotHound_Talbot_Shrewsbury_Book_1445.png/220px-TalbotHound_Talbot_Shrewsbury_Book_1445.png,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/8/8b/TalbotHound_Talbot_Shrewsbury_Book_1445.png,,,,,,
Toy Bulldog,,https://en.wikipedia.org/wiki/Toy_Bulldog,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,,,,,Not available
Toy Trawler Spaniel,United Kingdom,https://en.wikipedia.org/wiki/Toy_Trawler_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Trawler_spaniel_goblin.jpg/220px-Trawler_spaniel_goblin.jpg,Not available,Not available,Not available,Not available,Miniature Trawler Spaniel,Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/a/af/Trawler_spaniel_goblin.jpg,,,,,,
Turnspit dog,United Kingdom,https://en.wikipedia.org/wiki/Turnspit_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Turnspitdog-1862.jpg/300px-Turnspitdog-1862.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/5/5c/Turnspitdog-1862.jpg,,,,,,
Tweed Water Spaniel,England,https://en.wikipedia.org/wiki/Tweed_Water_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Tweed_Water_Spaniel.jpg/220px-Tweed_Water_Spaniel.jpg,Not available,Not available,Not available,Not available,Tweed SpanielLadykirk Spaniel,Not available,Not available,Not available,Not available,Extinct,Not available,https://upload.wikimedia.org/wikipedia/commons/9/98/Tweed_Water_Spaniel.jpg,,,,,,
Welsh Hillman,Wales,https://en.wikipedia.org/wiki/Welsh_Hillman,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Considered extinct since 1990,Extinct,Not available,,,,,,,Not available
Alopekis,Greece mainly in the Serres region.,https://en.wikipedia.org/wiki/Alopekis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Alopekis_white_male.jpg/220px-Alopekis_white_male.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Alopekis_white_male.jpg/330px-Alopekis_white_male.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Alopekis_white_male.jpg/440px-Alopekis_white_male.jpg,,,,,
American Bulldog,United States,https://en.wikipedia.org/wiki/American_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Faithfullbull_Spike_of_Mightybull.jpg/220px-Faithfullbull_Spike_of_Mightybull.jpg,,,"Short, harsh",Not available,Southern WhiteWhite EnglishOld Southern White BulldogHill BulldogCountry BulldogEnglish White Bulldog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Faithfullbull_Spike_of_Mightybull.jpg/330px-Faithfullbull_Spike_of_Mightybull.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Faithfullbull_Spike_of_Mightybull.jpg/440px-Faithfullbull_Spike_of_Mightybull.jpg,50–65 cm (20–26 in),34–52 kg (75–115 lb);bully type: 36.2–56.7 kg (80–125 lb);,51–61 cm (20–24 in),27–41 kg (60–90 lb),
American Cocker Spaniel,United States,https://en.wikipedia.org/wiki/American_Cocker_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/PointbreakHoneyimHome.jpg/220px-PointbreakHoneyimHome.jpg,Not available,Not available,"medium-length, thick, long",Not available,"Cocker Spaniel (in USA), Cocker, Merry Cocker.",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/PointbreakHoneyimHome.jpg/330px-PointbreakHoneyimHome.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/PointbreakHoneyimHome.jpg/440px-PointbreakHoneyimHome.jpg,,,,,
American English Coonhound,United States,https://en.wikipedia.org/wiki/American_English_Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/English_Coonhound.jpg/220px-English_Coonhound.jpg,in proportion to,in proportion to,Short to medium,Not available,English CoonhoundRedtick Coonhound,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/2/28/English_Coonhound.jpg,,,,,,
Ariegeois,France,https://en.wikipedia.org/wiki/Ariegeois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Ariegeois.jpg/220px-Ariegeois.jpg,,Not available,"short, fine and dense",Not available,Ariege Hound,Not available,white and jet black,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Ariegeois.jpg/330px-Ariegeois.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Ariegeois.jpg/440px-Ariegeois.jpg,52–58 cm (20–23 in),,50–56 cm (20–22 in),,
Armenian Gampr dog,Armenia,https://en.wikipedia.org/wiki/Armenian_Gampr_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Armenian_Gampr_01.jpg/220px-Armenian_Gampr_01.jpg,,,"long or short, with soft undercoat",Not available,"Armenian: գամփռ, gamp’ṙGamprArmenian Wolfhound Gampr",Not available,any,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Armenian_Gampr_01.jpg/330px-Armenian_Gampr_01.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Armenian_Gampr_01.jpg,from 65 cm (25 in): 65,average: 55 kg (120 lb): 65,from 60 cm (23 in): 65,average: 50 kg (110 lb): 65,
Australian Stumpy Tail Cattle Dog,Australia,https://en.wikipedia.org/wiki/Australian_Stumpy_Tail_Cattle_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg/220px-Australian_Stumpy_Tail_Cattle_Dog.jpg,46–51 cm (18–20 in),Not available,short,Not available,Stumpy Tail Cattle Dog,"Stumpy, Stumpy Tailed Heeler",Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg/330px-Australian_Stumpy_Tail_Cattle_Dog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg/440px-Australian_Stumpy_Tail_Cattle_Dog.jpg,,,,,
Austrian Pinscher,Austria,https://en.wikipedia.org/wiki/Austrian_Pinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pinczer_austiacki_678.jpg/220px-Pinczer_austiacki_678.jpg,,Not available,Not available,Not available,Österreichischer Kurzhaarpinscher or Austrian Shorthaired Pinscher,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pinczer_austiacki_678.jpg/330px-Pinczer_austiacki_678.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pinczer_austiacki_678.jpg/440px-Pinczer_austiacki_678.jpg,44–50 cm (17–20 in),,42–48 cm (17–19 in),,
Bernese Mountain Dog,Switzerland,https://en.wikipedia.org/wiki/Bernese_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Othello.jpg/220px-Othello.jpg,,,Double,Not available,Berner SennenhundBernese Cattle DogBouvier Bernois,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Othello.jpg/330px-Othello.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Othello.jpg/440px-Othello.jpg,25–27.5 in (64–70 cm),80–150 lb (35–70 kg),23–26 in (58–66 cm),70–100 lb (30–45 kg),
Bichon Frisé,Canary Islands (Spain)Belgium/France (later development),https://en.wikipedia.org/wiki/Bichon_Fris%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg/220px-Bichon_Fris%C3%A9_-_studdogbichon.jpg,23–28 cm (9–11 in),Not available,"Medium length, silky texture with corkscrew curls",Not available,Bichón TenerifeBichon à poil frisé,Not available,White,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg/330px-Bichon_Fris%C3%A9_-_studdogbichon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg/440px-Bichon_Fris%C3%A9_-_studdogbichon.jpg,,,,,
Billy,France,https://en.wikipedia.org/wiki/Billy_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Poitou_Hound_from_1915.JPG/220px-Poitou_Hound_from_1915.JPG,,Not available,ShortHarsh to the touch,Not available,Not available,Not available,White or off-white; may have orange or lemon patches or mantle.,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Poitou_Hound_from_1915.JPG/330px-Poitou_Hound_from_1915.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Poitou_Hound_from_1915.JPG/440px-Poitou_Hound_from_1915.JPG,60–70 cm (24–28 in),,58–62 cm (23–24 in),,
Bloodhound,"Belgium, France &United Kingdom",https://en.wikipedia.org/wiki/Bloodhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bloodhound_Erland22.jpg/220px-Bloodhound_Erland22.jpg,,,Short,Not available,Chien de St. HubertSt. Hubert HoundSleuth-hound,Not available,"Black and tan, liver and tan or red",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bloodhound_Erland22.jpg/330px-Bloodhound_Erland22.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bloodhound_Erland22.jpg/440px-Bloodhound_Erland22.jpg,64–72 cm (25–28 in),46–54 kg (101–119 lb),58–66 cm (23–26 in),40–48 kg (88–106 lb),
Bouvier des Ardennes,Belgium,https://en.wikipedia.org/wiki/Bouvier_des_Ardennes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Boyero-de-las-ardenas7.jpg/220px-Boyero-de-las-ardenas7.jpg,,,Rough double coat,Not available,Not available,Not available,All colours except white,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Boyero-de-las-ardenas7.jpg/330px-Boyero-de-las-ardenas7.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Boyero-de-las-ardenas7.jpg/440px-Boyero-de-las-ardenas7.jpg,56–62 cm (22–24 in),28–35 kg (62–77 lb),52–56 cm (20–22 in),22–28 kg (49–62 lb),
Bouvier des Flandres,Belgium (Flanders); France,https://en.wikipedia.org/wiki/Bouvier_des_Flandres,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bouvier.JPG/220px-Bouvier.JPG,,,double coat with rough looking outer coat that needs to be groomed regularly,Not available,Flanders Cattle Dog  Vlaamse Koehond,Not available,"fawn, brindle, black, grey or blonde",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bouvier.JPG/330px-Bouvier.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bouvier.JPG/440px-Bouvier.JPG,62–68 cm (24–27 in),35–40 kg (77–88 lb),59–65 cm (23–26 in),27–35 kg (60–77 lb),
Boxer,Germany,https://en.wikipedia.org/wiki/Boxer_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Male_fawn_Boxer_undocked.jpg/220px-Male_fawn_Boxer_undocked.jpg,,,"short, shiny, smooth, close-lying",Not available,German BoxerDeutscher Boxer,Not available,"fawn or brindle, and white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Male_fawn_Boxer_undocked.jpg/330px-Male_fawn_Boxer_undocked.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Male_fawn_Boxer_undocked.jpg/440px-Male_fawn_Boxer_undocked.jpg,22–25 in (56–64 cm),65–75 lb (29–34 kg),21–24 in (53–61 cm),55–70 lb (25–32 kg),
Bracco Italiano,Italy,https://en.wikipedia.org/wiki/Bracco_Italiano,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Giotto_BI.jpg/220px-Giotto_BI.jpg,,25–40 kg (55–88 lb),"short, dense and glossy",Not available,Italian PointerItalian Pointing Dog,Not available,"whitewhite with orange, amber or chestnut markings",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Giotto_BI.jpg/330px-Giotto_BI.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Giotto_BI.jpg/440px-Giotto_BI.jpg,preferred: 58–67 cm (23–26 in),,preferred: 55–62 cm (22–24 in),,
Braque d'Auvergne,France,https://en.wikipedia.org/wiki/Braque_d%27Auvergne,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Braque_d_Auvergne.jpg/220px-Braque_d_Auvergne.jpg,,Not available,Short,Not available,Auvergne Pointer Bleu d'Auvergne,Not available,Black with white markings,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Braque_d_Auvergne.jpg/330px-Braque_d_Auvergne.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Braque_d_Auvergne.jpg/440px-Braque_d_Auvergne.jpg,55–65 cm (22–26 in),,51–61 cm (20–24 in),,
Braque de l'Ariège,France,https://en.wikipedia.org/wiki/Ariege_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Pointer_of_Ariege_from_1915.JPG/220px-Pointer_of_Ariege_from_1915.JPG,,Not available,Not available,Not available,Braque de l'Ariège,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Pointer_of_Ariege_from_1915.JPG/330px-Pointer_of_Ariege_from_1915.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Pointer_of_Ariege_from_1915.JPG/440px-Pointer_of_Ariege_from_1915.JPG,60–67 cm (24–26 in),,56–65 cm (22–26 in),,
Braque Saint-Germain,,https://en.wikipedia.org/wiki/Braque_Saint-Germain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Braque_saint-germain_666.jpg/220px-Braque_saint-germain_666.jpg,,Not available,"Short, not too fine.",Not available,Saint Germain Pointer,Not available,Dull white with orange (fawn) markings,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Braque_saint-germain_666.jpg/330px-Braque_saint-germain_666.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Braque_saint-germain_666.jpg/440px-Braque_saint-germain_666.jpg,56–62 cm (22–24 in),,54–59 cm (21–23 in),,
Brittany,"Brittany, France",https://en.wikipedia.org/wiki/Brittany_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Brittany_standing.jpg/220px-American_Brittany_standing.jpg,Not available,30–45 lb (14–20 kg),"Medium length, flowing",Not available,Brittany SpanielBrittany WiegrefEpagneul BretonFrench Brittany,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Brittany_standing.jpg/330px-American_Brittany_standing.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Brittany_standing.jpg/440px-American_Brittany_standing.jpg,,,,,
Broholmer,Denmark,https://en.wikipedia.org/wiki/Broholmer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Male_Broholmer.jpg/220px-Male_Broholmer.jpg,,,Short with thick undercoat,Not available,Danish BroholmerDanish Mastiff,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Male_Broholmer.jpg/330px-Male_Broholmer.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Male_Broholmer.jpg/440px-Male_Broholmer.jpg,75 cm (30 in),65–90 kg (143–198 lb),70 cm (28 in),40–60 kg (88–132 lb),
Bruno Jura Hound,Switzerland,https://en.wikipedia.org/wiki/Bruno_Jura_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/09057110_Jura_Laufhund.jpg/220px-09057110_Jura_Laufhund.jpg,43–59 cm (17–23 in),15–20 kg (33–44 lb),Short,Not available,Bruno Jura Laufhund,Not available,Black and tanTwo-tone brown,Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/09057110_Jura_Laufhund.jpg/330px-09057110_Jura_Laufhund.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/09057110_Jura_Laufhund.jpg/440px-09057110_Jura_Laufhund.jpg,,,,,
Bull Arab,Australia,https://en.wikipedia.org/wiki/Bull_Arab,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Bull_Arab_%28dog%29.jpg/220px-Bull_Arab_%28dog%29.jpg,Not available,30–50 kg (66–110 lb),short,Not available,Not available,Not available,Not available,Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Bull_Arab_%28dog%29.jpg/330px-Bull_Arab_%28dog%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Bull_Arab_%28dog%29.jpg,,,,,
Bullmastiff,England,https://en.wikipedia.org/wiki/Bullmastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bullmastiff_edited.JPG/220px-Bullmastiff_edited.JPG,,,Short and weather resistant,Not available,Not available,Not available,Any shade of brindleredfawn,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bullmastiff_edited.JPG/330px-Bullmastiff_edited.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bullmastiff_edited.JPG/440px-Bullmastiff_edited.JPG,25–27 in (64–69 cm),110–130 lb (50–59 kg),24–26 in (61–66 cm),90–120 lb (41–54 kg),
Bully Kutta,Indian Subcontinent,https://en.wikipedia.org/wiki/Bully_Kutta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/BullyDogs.Pakistan.jpg/220px-BullyDogs.Pakistan.jpg,,,short,Not available,Alangu MastiffIndian mastiffIndian bullyPakistani mastiffSindhi mastiff,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/BullyDogs.Pakistan.jpg/330px-BullyDogs.Pakistan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/BullyDogs.Pakistan.jpg/440px-BullyDogs.Pakistan.jpg,76–86 centimetres (30–34 in),70–90 kilograms (150–200 lb),,,
Burgos Pointer,Castile and León (Spain),https://en.wikipedia.org/wiki/Burgos_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG/220px-Burgos_Pointer_or_Perdiguero_de_Burgos.JPG,,25 to 30 kg (55 to 66 lb),"Short, Bushy and Smooth",Not available,Perdiguero de BurgosBurgalese Pointer,Not available,Brown/combined with brown/spottled,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG/330px-Burgos_Pointer_or_Perdiguero_de_Burgos.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG/440px-Burgos_Pointer_or_Perdiguero_de_Burgos.JPG,62 to 67 cm (24 to 26 in),,59 to 64 cm (23 to 25 in),,
Can de Chira,Aragon (Spain),https://en.wikipedia.org/wiki/Can_de_Chira,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Can_de_Chira_antiguo2.jpg/220px-Can_de_Chira_antiguo2.jpg,,,"Mid-length, longer on body and limbs, shorter on head and neck",Not available,Perro pastor altoaragonés,Not available,"Black with white face, limbs, chest and belly",Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Can_de_Chira_antiguo2.jpg/330px-Can_de_Chira_antiguo2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Can_de_Chira_antiguo2.jpg/440px-Can_de_Chira_antiguo2.jpg,42–47 cm (17–19 in),16–20 kg (35–44 lb),38–43 cm (15–17 in),12–16 kg (26–35 lb),
Cane Corso,Italy,https://en.wikipedia.org/wiki/Cane_Corso,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CaneCorso_%2823%29.jpg/220px-CaneCorso_%2823%29.jpg,,,Not available,Not available,Cane Corso Italiano,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CaneCorso_%2823%29.jpg/330px-CaneCorso_%2823%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CaneCorso_%2823%29.jpg/440px-CaneCorso_%2823%29.jpg,62–70 cm (24–28 in),45–50 kg (99–110 lb),58–66 cm (23–26 in),40–45 kg (88–99 lb),
Cão de Castro Laboreiro,Portugal,https://en.wikipedia.org/wiki/C%C3%A3o_de_Castro_Laboreiro,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cao_de_Castro_Laboreiro_Ruede.jpg/220px-Cao_de_Castro_Laboreiro_Ruede.jpg,Not available,Not available,Not available,Not available,"Cão de Castro Laboreiro,Portuguese cattle dog,Portuguese watchdog",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cao_de_Castro_Laboreiro_Ruede.jpg/330px-Cao_de_Castro_Laboreiro_Ruede.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cao_de_Castro_Laboreiro_Ruede.jpg/440px-Cao_de_Castro_Laboreiro_Ruede.jpg,,,,,
Cardigan Welsh Corgi,Wales,https://en.wikipedia.org/wiki/Cardigan_Welsh_Corgi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cardigan_Welsh_Corgi%2C_Profile.png/220px-Cardigan_Welsh_Corgi%2C_Profile.png,Not available,Not available,Not available,Not available,Not available,CardiganCWCCardi,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cardigan_Welsh_Corgi%2C_Profile.png/330px-Cardigan_Welsh_Corgi%2C_Profile.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cardigan_Welsh_Corgi%2C_Profile.png/440px-Cardigan_Welsh_Corgi%2C_Profile.png,,,,,
Carea Leonés,León (Spain),https://en.wikipedia.org/wiki/Carea_Leon%C3%A9s,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Carea_Leon%C3%A9s1_cropped.jpg/220px-Carea_Leon%C3%A9s1_cropped.jpg,Not available,Not available,Not available,Not available,Leonese Sheepdog,Not available,Not available,Not available,Recognized in Spanish legislation,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Carea_Leon%C3%A9s1_cropped.jpg/330px-Carea_Leon%C3%A9s1_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Carea_Leon%C3%A9s1_cropped.jpg/440px-Carea_Leon%C3%A9s1_cropped.jpg,,,,,
Carolina Dog,US,https://en.wikipedia.org/wiki/Carolina_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg/220px-Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg,17.75–19.75 in (45.1–50.2 cm),30–44 lb (14–20 kg),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg/330px-Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg,,,,,
Chesapeake Bay Retriever,United States of America,https://en.wikipedia.org/wiki/Chesapeake_Bay_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/CH_Chesapeake.jpg/220px-CH_Chesapeake.jpg,,,A wooly double coat made of fur,Not available,Not available,Not available,Not available,Not available,State dog of Maryland,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/CH_Chesapeake.jpg/330px-CH_Chesapeake.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/CH_Chesapeake.jpg/440px-CH_Chesapeake.jpg,24 to 26 in (61 to 66 cm),75 to 100 lb (34 to 45 kg),22 to 25 in (56 to 64 cm),66 to 88 lb (30 to 40 kg),
